Covariance Matrix:
1.056539 0.003653 -0.008362 -0.006328
0.003653 1.058912 0.008215 -0.000633
-0.008362 0.008215 1.015806 0.009472
-0.006328 -0.000633 0.009472 1.051764
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 1.045215, 1.067280
Element [0,1]: -0.003942, 0.011336
Element [0,2]: -0.016788, -0.000699
Element [0,3]: -0.014832, 0.001054
Element [1,0]: -0.003942, 0.011336
Element [1,1]: 1.047613, 1.070510
Element [1,2]: 0.000704, 0.015736
Element [1,3]: -0.008519, 0.007127
Element [2,0]: -0.016788, -0.000699
Element [2,1]: 0.000704, 0.015736
Element [2,2]: 1.005636, 1.027873
Element [2,3]: 0.002047, 0.017971
Element [3,0]: -0.014832, 0.001054
Element [3,1]: -0.008519, 0.007127
Element [3,2]: 0.002047, 0.017971
Element [3,3]: 1.040957, 1.062203

Covariance Matrix:
0.960130 0.009687 0.000281 0.006245
0.009687 0.972886 0.008221 -0.002426
0.000281 0.008221 0.949904 0.014663
0.006245 -0.002426 0.014663 0.958807
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.951304, 0.970495
Element [0,1]: 0.002770, 0.017228
Element [0,2]: -0.006541, 0.007364
Element [0,3]: -0.000561, 0.015304
Element [1,0]: 0.002770, 0.017228
Element [1,1]: 0.963009, 0.984449
Element [1,2]: 0.001485, 0.015943
Element [1,3]: -0.009576, 0.004565
Element [2,0]: -0.006541, 0.007364
Element [2,1]: 0.001485, 0.015943
Element [2,2]: 0.941276, 0.960520
Element [2,3]: 0.008310, 0.021269
Element [3,0]: -0.000561, 0.015304
Element [3,1]: -0.009576, 0.004565
Element [3,2]: 0.008310, 0.021269
Element [3,3]: 0.949556, 0.968784

Covariance Matrix:
0.980095 -0.008628 0.003069 -0.001566
-0.008628 1.002346 -0.010004 0.006914
0.003069 -0.010004 0.977974 -0.020420
-0.001566 0.006914 -0.020420 1.019973
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.970037, 0.992433
Element [0,1]: -0.016160, -0.002102
Element [0,2]: -0.004046, 0.010991
Element [0,3]: -0.007580, 0.006246
Element [1,0]: -0.016160, -0.002102
Element [1,1]: 0.991805, 1.012294
Element [1,2]: -0.018365, -0.002999
Element [1,3]: -0.000555, 0.014331
Element [2,0]: -0.004046, 0.010991
Element [2,1]: -0.018365, -0.002999
Element [2,2]: 0.969553, 0.989650
Element [2,3]: -0.027499, -0.013211
Element [3,0]: -0.007580, 0.006246
Element [3,1]: -0.000555, 0.014331
Element [3,2]: -0.027499, -0.013211
Element [3,3]: 1.009139, 1.030849

Covariance Matrix:
0.975577 -0.000696 0.001745 0.005216
-0.000696 0.948877 0.005402 0.004057
0.001745 0.005402 0.939868 0.000959
0.005216 0.004057 0.000959 0.941760
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.963057, 0.986899
Element [0,1]: -0.006891, 0.006282
Element [0,2]: -0.004455, 0.008942
Element [0,3]: -0.001322, 0.011761
Element [1,0]: -0.006891, 0.006282
Element [1,1]: 0.939045, 0.957684
Element [1,2]: -0.000271, 0.012581
Element [1,3]: -0.003701, 0.011631
Element [2,0]: -0.004455, 0.008942
Element [2,1]: -0.000271, 0.012581
Element [2,2]: 0.930521, 0.948547
Element [2,3]: -0.006390, 0.006671
Element [3,0]: -0.001322, 0.011761
Element [3,1]: -0.003701, 0.011631
Element [3,2]: -0.006390, 0.006671
Element [3,3]: 0.932278, 0.953190

Covariance Matrix:
0.968958 0.001062 -0.008944 -0.002458
0.001062 0.960342 0.008950 -0.008554
-0.008944 0.008950 0.976291 0.002303
-0.002458 -0.008554 0.002303 0.957727
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.958438, 0.979079
Element [0,1]: -0.006385, 0.008133
Element [0,2]: -0.016693, -0.000458
Element [0,3]: -0.009993, 0.005244
Element [1,0]: -0.006385, 0.008133
Element [1,1]: 0.949210, 0.971191
Element [1,2]: 0.002192, 0.015801
Element [1,3]: -0.015227, -0.001289
Element [2,0]: -0.016693, -0.000458
Element [2,1]: 0.002192, 0.015801
Element [2,2]: 0.966677, 0.985576
Element [2,3]: -0.006000, 0.008414
Element [3,0]: -0.009993, 0.005244
Element [3,1]: -0.015227, -0.001289
Element [3,2]: -0.006000, 0.008414
Element [3,3]: 0.947516, 0.966935

Covariance Matrix:
0.984394 0.003887 0.004978 -0.003938
0.003887 1.009208 0.022541 0.012659
0.004978 0.022541 0.977562 0.018328
-0.003938 0.012659 0.018328 0.989074
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.974865, 0.994428
Element [0,1]: -0.003542, 0.011119
Element [0,2]: -0.001963, 0.013241
Element [0,3]: -0.012043, 0.003587
Element [1,0]: -0.003542, 0.011119
Element [1,1]: 0.998236, 1.020364
Element [1,2]: 0.015019, 0.030653
Element [1,3]: 0.004624, 0.019758
Element [2,0]: -0.001963, 0.013241
Element [2,1]: 0.015019, 0.030653
Element [2,2]: 0.966133, 0.987681
Element [2,3]: 0.011580, 0.024896
Element [3,0]: -0.012043, 0.003587
Element [3,1]: 0.004624, 0.019758
Element [3,2]: 0.011580, 0.024896
Element [3,3]: 0.978702, 1.000357

Covariance Matrix:
0.987551 0.001428 0.004340 0.012285
0.001428 0.958212 -0.007371 0.028486
0.004340 -0.007371 0.978107 -0.015541
0.012285 0.028486 -0.015541 0.953177
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.978676, 0.997092
Element [0,1]: -0.006806, 0.007984
Element [0,2]: -0.004311, 0.011246
Element [0,3]: 0.005558, 0.020116
Element [1,0]: -0.006806, 0.007984
Element [1,1]: 0.948875, 0.967755
Element [1,2]: -0.013767, -0.000616
Element [1,3]: 0.022037, 0.035124
Element [2,0]: -0.004311, 0.011246
Element [2,1]: -0.013767, -0.000616
Element [2,2]: 0.967281, 0.988290
Element [2,3]: -0.022342, -0.007536
Element [3,0]: 0.005558, 0.020116
Element [3,1]: 0.022037, 0.035124
Element [3,2]: -0.022342, -0.007536
Element [3,3]: 0.941960, 0.964556

Covariance Matrix:
1.052285 -0.000978 0.000165 0.015251
-0.000978 1.082053 -0.009930 0.006253
0.000165 -0.009930 1.041073 -0.003170
0.015251 0.006253 -0.003170 1.064842
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 1.041101, 1.062966
Element [0,1]: -0.008869, 0.007124
Element [0,2]: -0.009471, 0.007562
Element [0,3]: 0.007182, 0.023138
Element [1,0]: -0.008869, 0.007124
Element [1,1]: 1.069511, 1.096253
Element [1,2]: -0.017350, -0.001427
Element [1,3]: -0.001496, 0.013898
Element [2,0]: -0.009471, 0.007562
Element [2,1]: -0.017350, -0.001427
Element [2,2]: 1.029450, 1.050679
Element [2,3]: -0.010032, 0.003637
Element [3,0]: 0.007182, 0.023138
Element [3,1]: -0.001496, 0.013898
Element [3,2]: -0.010032, 0.003637
Element [3,3]: 1.053333, 1.075243

Covariance Matrix:
0.989732 -0.009369 -0.006519 -0.005485
-0.009369 0.989358 0.008908 -0.010797
-0.006519 0.008908 0.998055 0.023115
-0.005485 -0.010797 0.023115 0.995788
